arch	file	size	sha256	source
win32	bin/win32/libgdk-win32-2.0-0.dll	846681	d20026a95e6692bbcabb0c52de81309bea708e93a72ec6c66aae97565a9385a8	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk2-2.24.33-6-any.pkg.tar.zst
win32	bin/win32/libglade-2.0-0.dll	116996	9567e2d4249802c145d4df601504d05bbc6d7be0637b8bcbe0f2cd62fae4c329	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-libglade-2.6.4-6-any.pkg.tar.zst
win32	bin/win32/libgoocanvas-3.0-9.dll	310804	15ea7c9486f0990632cbd2531046e0ad674e4f09bd4c34f66d7d7a313cdb10d4	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-goocanvas-3.0.0-4-any.pkg.tar.zst
win32	bin/win32/libgtk-3-0.dll	7799104	cd86ff1bdffc792e0b5aaffa6c6a7bdeabe095af1f03b53dbc8b2d6398f3bbf1	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk3-3.24.51-2-any.pkg.tar.zst
win32	bin/win32/libgtkglext-win32-1.0-0.dll	23031	391462cbdc319872d1efad54a9abdab3065c4bb901cf1ea8be8f92888ac97168	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtkglext-1.2.0-4-any.pkg.tar.zst
win32	bin/win32/libgtk-win32-2.0-0.dll	4484837	c9c216711026a7713420a07c89dbadf1e689bacc2ba2082dc75908e636e0993c	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk2-2.24.33-6-any.pkg.tar.zst
win32	bin/win32/libpango-1.0-0.dll	444061	f89968a4891961d23e8da387769aaa83fdc0dff3ae326e644e2e5c2cfa1c038f	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	bin/win32/libpangocairo-1.0-0.dll	78363	621f1ed7d4a885ecc0ac20d8fb811dc230dda6d8555890056160f3e3bbe8e354	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	bin/win32/libpangoft2-1.0-0.dll	117028	79b198dcebc7efa791ee249d073fe347a9849738a08cfeb386679eb4aa805d54	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	bin/win32/libpangowin32-1.0-0.dll	118170	e128baa4817220ade616d4cb1d398c26e20e033bda178fe7e4572a86f59e0dd0	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
